alias_norm,brand_slug,brand_display
quilmes,quilmes,Quilmes
1890,quilmes,Quilmes
quilmes 1890,quilmes,Quilmes
andes,andes,Andes
andes origen,andes-origen,Andes Origen
andes origen mendocina,andes-origen,Andes Origen
stella,stella-artois,Stella Artois
stella artois,stella-artois,Stella Artois
corona,corona,Corona
heineken,heineken,Heineken
brahma,brahma,Brahma
patagonia,patagonia,Patagonia
schneider,schneider,Schneider
imperial,imperial,Imperial
budweiser,budweiser,Budweiser
miller,miller,Miller
warsteiner,warsteiner,Warsteiner
grolsch,grolsch,Grolsch
guinness,guinness,Guinness
guiness,guinness,Guinness
guinnes,guinness,Guinness
estrella galicia,estrella-galicia,Estrella Galicia
peroni,peroni,Peroni
amstel,amstel,Amstel
sol,sol,Sol
michelob,michelob,Michelob
michelob ultra,michelob,Michelob
blue moon,blue-moon,Blue Moon
bluemoon,blue-moon,Blue Moon
leffe,leffe,Leffe
hoegaarden,hoegaarden,Hoegaarden
becks,becks,Beck's
bieckert,bieckert,Bieckert
isenbeck,isenbeck,Isenbeck
palermo,palermo,Palermo
iguana,iguana,Iguana
otro mundo,otro-mundo,Otro Mundo
antares,antares,Antares
