alias_norm,variant_slug
rubia,rubia
rubia lager,rubia
lager,rubia
tipo lager,rubia
blonde,rubia
chopp,rubia
cristal,rubia
rubia oro,rubia-oro
oro,rubia-oro
roja,roja
amber,roja
amber lager,roja
red,roja
irish red,roja
negra,negra
stout,negra
dark,negra
porter,negra
cream stout,negra
nitro cream stout,negra
ipa,ipa
india pale ale,ipa
apa,apa
american pale ale,apa
session ipa,session-ipa
pilsen,pilsen
pilsener,pilsen
golden,golden
golden ale,golden
honey,honey
honey ale,honey
scotch ale,scotch-ale
weisse,weisse
weissbier,weisse
belgian white,witbier
witbier,witbier
pure gold,pure-gold
noire,negra
dark lager,negra
dark,negra
blanche,witbier
lager negra,negra
